"Station Name","Province","Latitude","Longitude","Elevation","Climate ID","WMO Identifier","TC Identifier","First Year","Last Year","HLY First Year","HLY Last Year","DLY First Year","DLY Last Year","MLY First Year","MLY Last Year"
"FERGUS MOE","ONTARIO","43.70","-80.38","396.20","6142402","","","1962","2022","","","1962","2022","1963","2006"
"FERGUS SHAND DAM","ONTARIO","43.73","-80.33","417.60","6142400","","","1939","2022","","","1939","2022","1939","2006"
"FERGUSON","BRITISH COLUMBIA","50.67","-117.48","","1142845","","","1908","1922","","","1908","1922","1908","1922"
"FERINTOSH AGCM","ALBERTA","52.74","-112.86","795.00","3012590","71673","PFA","2007","2022","2008","2022","2007","2022","2007","2007"
"FERLAND","QUEBEC","48.20","-70.83","198.10","7062368","","","1971","1997","","","1971","1997","1971","1997"
"FERME NEUVE","QUEBEC","46.70","-75.45","213.40","7032370","","","1957","1985","","","1957","1985","1957","1985"
"FERMONT","QUEBEC","52.80","-67.08","594.40","704BC70","","","1976","2004","","","1976","2004","1976","2004"
"FERNDALE","ONTARIO","44.97","-81.30","186.80","6122405","","","1965","1968","","","1965","1968","1965","1968"
"FERNIE","BRITISH COLUMBIA","49.49","-115.07","1001.00","1152850","","","1913","2022","","","1913","2022","1913","2007"
"FERNIE 2","BRITISH COLUMBIA","49.50","-115.07","1009.80","1152852","","","1924","1935","","","1924","1935","1924","1935"
"FERNIE SNOW VALLEY","BRITISH COLUMBIA","49.47","-115.10","1371.60","1152851","","","1975","1975","","","1975","1975","1975","1975"
"FEROLLE POINT (AUT)","NEWFOUNDLAND","51.02","-57.10","5.80","8401565","71406","WXI","1993","2022","1994","2022","1993","2022","2005","2007"
"FERTILE","SASKATCHEWAN","49.34","-101.45","510.50","4012485","","","1969","2012","","","1969","2012","1969","2007"
"FESSERTON","ONTARIO","44.73","-79.68","179.80","6112410","","","1961","1964","","","1961","1964","1961","1964"
"FIELD","BRITISH COLUMBIA","51.38","-116.48","1238.70","1172870","","","1917","1937","","","1917","1937","1917","1937"
"FILLMORE","SASKATCHEWAN","49.88","-103.43","619.00","4012493","","","1973","1987","","","1973","1987","1973","1987"
"FINCASTLE AGDM","ALBERTA","49.80","-112.03","833.00","3032550","71535","PFI","2004","2022","2004","2022","2004","2022","2004","2007"
"FINGAL","ONTARIO","42.67","-81.30","213.40","6132415","","","1965","1969","","","1965","1969","1965","1969"
"FINLAY FORKS","BRITISH COLUMBIA","55.90","-123.73","762.00","1182881","","","1981","1989","","","1981","1989","1981","1989"
"FINLAY FORKS","BRITISH COLUMBIA","56.00","-123.90","579.10","1182880","","","1945","1951","","","1945","1951","1945","1951"
"FINLAY FORKS 2","BRITISH COLUMBIA","55.98","-123.73","1128.00","118BHQ1","","","1989","1992","","","1989","1992","1989","1992"
"FINLAYSON ARM RD","BRITISH COLUMBIA","48.50","-123.53","167.60","1012883","","","1976","1977","","","1976","1977","1976","1977"
"FINNEGAN","ALBERTA","51.18","-111.92","746.80","3022616","","","1970","1975","","","1970","1975","1970","1975"
"FINNEGAN AGCM","ALBERTA","51.05","-112.10","748.00","3022650","","PFF","2013","2022","2013","2022","2018","2022","",""
"FIRE LAKE","QUEBEC","52.33","-67.37","609.60","7042371","","","1974","1974","","","1974","1974","1974","1974"
"FIRVALE","BRITISH COLUMBIA","52.45","-126.30","121.90","1062884","","","1991","1991","","","1991","1991","1991","1991"
"FISH CREEK","ALBERTA","55.47","-117.40","586.70","3072618","","","1970","1974","","","1970","1974","1970","1974"
"FISH LAKE ROAD","YUKON TERRITORY","60.72","-135.20","975.00","2100535","","","1988","1990","","","1988","1990","1988","1990"
"FISHER BRANCH","MANITOBA","51.10","-97.55","246.90","5030916","","","1970","2005","","","1970","2005","1970","2005"
"FISHER BRANCH (AUT)","MANITOBA","51.08","-97.55","253.00","50309J6","71442","WSZ","1992","2022","1994","2022","1992","2022","1999","2007"
"FISHER BRANCH SOUTH","MANITOBA","51.05","-97.53","259.10","5030917","","","1977","2009","","","1977","2009","1977","2007"
"FITZROY HARBOUR","ONTARIO","45.47","-76.22","74.10","6102417","","","1870","1906","","","1870","1906","1870","1906"
"FIVE LAKES","ALBERTA","53.95","-114.22","721.80","3012620","","","1911","1934","","","1911","1934","1911","1933"
"FIVE MILE CREEK","ALBERTA","49.77","-113.84","1295.00","3032624","","","1985","2008","","","1985","2008","1985","2007"
"FIVE MILE LAKE","NOVA SCOTIA","44.95","-64.00","45.70","8201800","","","1933","1978","","","1933","1978","1933","1978"
"FLANDERS","QUEBEC","45.37","-71.55","","7022374","","","1973","1977","","","1973","1977","1973","1977"
"FLAP JACK","SASKATCHEWAN","49.53","-109.88","1036.30","4032510","","","1961","1967","","","1961","1967","1961","1967"
"FLAT CREEK","BRITISH COLUMBIA","51.23","-117.62","944.90","1172895","","","1958","1959","","","1958","1959","",""
"FLAT RIVER","NORTHWEST TERRITORIES","61.97","-128.20","1115.60","2201345","","","1960","1960","","","1960","1960","1960","1960"
"FLATTOP LO","ALBERTA","55.15","-114.80","1030.20","3062630","","","1959","2011","","","1959","2011","1959","2007"
"FLEET","ALBERTA","52.15","-111.73","838.20","301B6L0","","","1987","1990","","","1987","1990","1987","1990"
"FLEET AGCM","ALBERTA","52.04","-111.81","823.00","3012635","","PFE","2013","2022","2013","2022","2018","2022","",""
"FLEMING CDA EPF","SASKATCHEWAN","50.12","-101.53","541.00","4012520","","","1951","1976","","","1951","1976","1951","1976"
"FLEMING SOUTH","SASKATCHEWAN","50.03","-101.58","571.50","4012525","","","1971","1984","","","1971","1984","1971","1984"
"FLEURY","QUEBEC","45.80","-73.00","30.50","7022375","","","1967","2022","","","1967","2022","1967","2018"
"FLIN FLON","MANITOBA","54.77","-101.88","320.00","5050920","","","1927","2021","","","1927","2021","1927","2007"
"FLIN FLON","MANITOBA","54.68","-101.68","303.90","5050919","71954","WFO","1994","2022","1994","2022","1996","2022","1996","2007"
"FLIN FLON A","MANITOBA","54.68","-101.68","304.20","5050973","","YFO","2014","2022","2014","2022","2018","2022","",""
"FLIN FLON A","MANITOBA","54.68","-101.68","303.90","5050960","","YFO","1954","2017","1954","2014","1968","2017","1968","2007"
"FLIN FLON A","MANITOBA","54.68","-101.68","304.20","5050961","","YFO","2014","2022","2014","2022","","","",""
"FLIN FLON CFB","MANITOBA","54.68","-101.97","304.80","5050970","","","1959","1971","","","1959","1971","1959","1971"
"FLINT","ONTARIO","48.35","-89.68","274.00","6042MJ7","","","1979","2014","","","1979","2014","1979","2006"
"FLINTOFT","SASKATCHEWAN","49.45","-106.23","800.10","4022540","","","1981","1982","","","1981","1982","1981","1982"
"FLORANN","ALBERTA","49.27","-111.40","951.00","304KFL0","","","1986","1990","","","1986","1990","1986","1990"
"FLOWERS COVE","NEWFOUNDLAND","51.33","-56.68","9.00","8401583","","","1980","2008","","","1980","2008","1980","2005"
"FLOWERS COVE","NEWFOUNDLAND","51.30","-56.73","9.10","8401582","","","1971","1980","","","1971","1980","1971","1980"
"FLOWERS ISLAND","NEWFOUNDLAND","51.30","-56.75","6.10","8401585","","","1967","1970","","","1967","1970","1967","1970"
"FOAM LAKE","SASKATCHEWAN","51.63","-103.53","558.40","4012560","","","1923","1974","","","1923","1974","1923","1974"
"FOAM LAKE","SASKATCHEWAN","51.72","-103.55","544.10","4012561","","","1975","1989","","","1975","1989","1975","1989"
"FOGGY LO","ALBERTA","58.68","-114.98","883.90","3072635","","","1967","2011","","","1967","2011","1967","2007"
"FOGO","NEWFOUNDLAND","49.72","-54.28","146.90","8401600","","","1873","1950","","","1873","1950","1873","1950"
"FOGO","NEWFOUNDLAND","49.72","-54.30","11.80","8401599","","","1990","2004","","","1990","2004","1990","2004"
"FOGO","NEWFOUNDLAND","49.72","-54.27","15.20","8401601","","","1972","1989","","","1972","1989","1972","1988"
"FOLDENS","ONTARIO","43.02","-80.78","328.00","6142420","","","1963","2016","","","1963","2016","1963","2006"
"FOLEYET","ONTARIO","48.25","-82.43","328.60","6062425","","","1931","1974","","","1931","1974","1931","1973"
"FOND D'ORMES","QUEBEC","48.22","-68.47","175.90","705KC75","","","1973","1973","","","1973","1973","",""
"FOND DU LAC","SASKATCHEWAN","59.33","-107.17","210.30","4062580","","","1905","1938","","","1905","1938","1905","1938"
"FONTAS LO","ALBERTA","57.78","-119.50","1036.30","3072637","","","1965","2011","","","1965","2011","1965","2007"
"FONTENELLE","QUEBEC","48.93","-64.65","15.00","705KL75","","","1972","2004","","","1972","2004","1972","2004"
"FONTHILL","ONTARIO","43.03","-79.30","236.20","6132435","","","1945","1969","","","1945","1969","1945","1969"
"FOOTNER LAKE HQ","ALBERTA","58.62","-117.15","320.00","3072638","","","1967","1969","","","1967","1969","1967","1969"
"FORDING RIVER CLODE CRK","BRITISH COLUMBIA","50.20","-114.82","2100.00","1152898","","","1976","1987","","","1976","1987","1976","1987"
"FORDING RIVER COMINCO","BRITISH COLUMBIA","50.15","-114.86","1585.00","1152899","","","1970","2017","","","1970","2017","1970","2007"
"FOREMOST","ALBERTA","49.48","-111.45","892.00","3032640","","","1915","2005","","","1915","2005","1915","2005"
"FOREMOST AGDM","ALBERTA","49.48","-111.49","881.00","3032642","71225","XFM","1999","2022","1999","2022","2002","2022","2002","2007"
"FOREMOST EAST","ALBERTA","49.45","-111.28","914.40","3032645","","","1970","1972","","","1970","1972","1970","1972"
"FOREMOST EXP ST","ALBERTA","49.48","-111.45","890.00","3032650","","","1954","1960","","","1954","1960","1954","1960"
"FOREST","ONTARIO","43.17","-82.03","191.00","6122450","","","1924","1991","","","1924","1991","1924","1991"
"FOREST MCNABB","ONTARIO","43.10","-82.00","218.20","6122452","","","1960","1963","","","1960","1963","1960","1963"
"FORESTBURG","ALBERTA","52.47","-112.13","690.40","3012651","","","1966","1969","","","1966","1969","1966","1969"
"FORESTBURG AGCM","ALBERTA","52.55","-112.12","721.00","3012653","71674","PFO","2007","2022","2007","2022","2007","2022","",""
"FORESTBURG PLANT SITE","ALBERTA","52.47","-112.12","662.90","3012652","","","1967","2020","","","1967","2020","1967","2007"
"FORESTVILLE","QUEBEC","48.73","-69.08","76.20","7042378","","","1963","1996","","","1963","1996","1963","1996"
"FORESTVILLE NORD","QUEBEC","48.75","-69.08","68.60","7042385","","","1973","1980","","","1973","1980","1973","1980"
"FORET MONTMORENCY","QUEBEC","47.32","-71.15","640.00","7042388","","","1965","2002","","","1965","2002","1965","2002"
"FORET MONTMORENCY RCS","QUEBEC","47.32","-71.15","672.80","7042395","71212","MFM","2003","2022","2003","2022","2003","2022","",""
"FORGET ME NOT LO","ALBERTA","50.75","-114.75","2316.50","3052653","","","1962","1975","","","1962","1975","1962","1975"
"FORGET ME NOT MOUNTAIN","ALBERTA","50.73","-114.70","1738.60","30526EL","","","1998","2007","","","1998","2007","1998","2007"
"FORK RIVER","MANITOBA","51.52","-100.02","266.70","5040973","","","1982","2001","","","1982","2001","1982","2001"
"FORK RIVER NORTH","MANITOBA","51.57","-99.98","259.70","5040R73","","","1982","2002","","","1982","2002","1982","2002"
"FORMOSA","ONTARIO","44.07","-81.28","304.80","6122456","","","1975","1976","","","1975","1976","1975","1976"
"FORSYTHE","QUEBEC","48.23","-76.43","374.60","7092395","","","1965","1969","","","1965","1969","1965","1969"
"FORT ALBANY","ONTARIO","52.22","-81.67","15.20","6072460","","","1968","1993","","","1968","1993","1968","1993"
"FORT ASSINIBOINE","ALBERTA","54.37","-114.92","670.60","306KFE3","","","1969","1997","","","1969","1997","1969","1997"
"FORT ASSINIBOINE 2","ALBERTA","54.35","-114.83","627.30","3062656","","","1997","2008","","","1997","2008","1997","2007"
"FORT ASSINIBOINE AGCM","ALBERTA","54.41","-114.77","676.00","3062660","71483","PFB","2008","2022","2008","2022","2008","2022","",""
"FORT ASSINIBOINE RS","ALBERTA","54.35","-114.80","609.60","3062654","","","1963","1965","","","1963","1965","1963","1965"
"FORT ASSINIBOINE RS","ALBERTA","54.37","-114.92","670.00","3062655","","","1983","2008","","","1983","2008","1983","2007"
"FORT BABINE","BRITISH COLUMBIA","55.32","-126.62","716.30","1072902","","","1944","1975","","","1944","1975","1944","1975"
"FORT CHIPEWYAN","ALBERTA","58.72","-111.15","227.70","3072657","","","1883","1967","1962","1967","1883","1967","1883","1967"
"FORT CHIPEWYAN","ALBERTA","58.77","-111.12","238.00","3072655","71305","YPY","2011","2022","2011","2022","2011","2022","",""
"FORT CHIPEWYAN","ALBERTA","58.77","-111.12","231.60","307KFNF","","","1989","1993","1989","1993","","","",""
"FORT CHIPEWYAN A","ALBERTA","58.77","-111.12","232.00","3072658","","","1967","2007","1967","2006","1967","2007","1967","2007"
"FORT CHIPEWYAN AWOS A","ALBERTA","58.77","-111.12","238.00","3072662","","PCP","2006","2016","2006","2016","2006","2011","",""
"FORT CHIPEWYAN RCS","ALBERTA","58.77","-111.12","238.00","3072659","71056","PCH","2012","2022","2012","2022","2012","2022","",""
"FORT COULONGE","QUEBEC","45.82","-76.75","106.70","7032440","","","1948","1989","","","1948","1989","1948","1989"
"FORT EDMONTON","ALBERTA","53.52","-113.57","627.90","3012659","","","1976","1986","","","1976","1986","1976","1986"
"FORT ELLICE","MANITOBA","50.42","-101.23","","5010977","","","1883","1894","","","1883","1894","1883","1894"
"FORT ERIE","ONTARIO","42.88","-78.97","179.80","6132470","","","1966","2022","","","1966","2022","1966","2006"
"FORT FRANCES","ONTARIO","48.62","-93.42","343.20","6022475","","","1892","1995","","","1892","1995","1892","1995"
"FORT FRANCES A","ONTARIO","48.65","-93.43","342.00","6022476","","","1976","2011","","","1976","2011","1976","2006"
"FORT FRANCES CDA EPF","ONTARIO","48.55","-93.52","353.60","6022480","","","1960","1962","","","1960","1962","1960","1962"
"FORT FRANCES FORESTRY","ONTARIO","48.62","-93.40","342.00","6022487","","","1943","1965","","","1943","1965","1943","1964"
"FORT FRANCES RCS","ONTARIO","48.65","-93.44","342.00","6022474","71962","TAG","2007","2022","2007","2022","2007","2022","",""
"FORT FRANKLIN","NORTHWEST TERRITORIES","65.18","-123.43","159.40","2201380","","","1974","1975","","","1974","1975","1974","1975"
"FORT FRASER","BRITISH COLUMBIA","54.10","-124.55","701.00","1092904","","","1964","1965","","","1964","1965","1964","1965"
"FORT FRASER 13S","BRITISH COLUMBIA","53.88","-124.58","701.00","1092905","","","1970","1993","","","1970","1993","1970","1993"
"FORT GEORGE","QUEBEC","53.83","-79.00","6.70","7092480","","","1915","1969","","","1915","1969","1915","1969"
"FORT GOOD HOPE 2","NORTHWEST TERRITORIES","66.25","-128.63","41.80","2201500","","","1897","1966","","","1897","1966","1897","1966"
"FORT GOOD HOPE A","NORTHWEST TERRITORIES","66.24","-128.65","81.40","2201406","","YGH","2015","2022","2015","2022","2018","2022","",""
"FORT GOOD HOPE A","NORTHWEST TERRITORIES","66.24","-128.65","81.40","2201401","","YGH","2015","2022","2015","2022","","","",""
"FORT GOOD HOPE A","NORTHWEST TERRITORIES","66.24","-128.65","81.40","2201400","","YGH","1944","2015","1965","2015","1944","2015","1944","2007"
"FORT GOOD HOPE CS","NORTHWEST TERRITORIES","66.24","-128.64","81.70","2201450","71491","ZGH","1998","2022","1998","2022","1998","2022","1998","2007"
"FORT HOPE","ONTARIO","51.55","-87.97","","6012490","","","1891","1930","","","1891","1930","1891","1930"
"FORT KENT CDA EPF","ALBERTA","54.30","-110.62","548.60","3082660","","","1954","1965","","","1954","1965","1954","1965"
"FORT LANGLEY","BRITISH COLUMBIA","49.20","-122.62","6.10","1102910","","","1953","1956","","","1953","1956","1953","1956"
"FORT LANGLEY TELEGRAPH TRAIL","BRITISH COLUMBIA","49.14","-122.55","76.00","1102912","","","2005","2022","","","2005","2022","2005","2007"
"FORT LIARD","NORTHWEST TERRITORIES","60.23","-123.47","213.40","2201579","71497","WJL","1994","2022","1994","2022","1996","2022","1996","2007"
"FORT LIARD A","NORTHWEST TERRITORIES","60.24","-123.47","215.80","2201581","","YJF","2014","2022","2014","2022","2018","2022","",""
"FORT LIARD A","NORTHWEST TERRITORIES","60.24","-123.47","215.80","2201575","","YJF","1973","2014","1973","2014","1973","2014","1973","2007"
"FORT LIARD A","NORTHWEST TERRITORIES","60.24","-123.47","215.80","2201576","","YJF","2014","2022","2014","2022","","","",""
"FORT MACKAY RS","ALBERTA","57.18","-111.62","234.70","3062675","","","1964","1994","","","1964","1994","1964","1994"
"FORT MACLEOD","ALBERTA","49.72","-113.40","949.80","3032680","","","1876","1988","","","1876","1988","1877","1988"
"FORT MACLEOD AGCM","ALBERTA","49.79","-113.38","978.00","3032683","71789","PFM","2007","2022","2008","2022","2007","2022","2007","2007"
"FORT MACLEOD EXP ST","ALBERTA","49.72","-113.40","953.40","3032685","","","1955","1962","","","1955","1962","1955","1962"
"FORT MACLEOD EXP ST 2","ALBERTA","49.77","-113.48","953.40","3032686","","","1955","1963","","","1955","1963","1955","1963"
"FORT MACLEOD NORTH","ALBERTA","49.87","-113.28","953.00","30326QF","","","1965","1994","","","1965","1994","1965","1994"
"FORT MACLEOD STAND OFF","ALBERTA","49.53","-113.33","990.60","3032690","","","1961","1975","","","1961","1975","1961","1975"
"FORT MCKENZIE","QUEBEC","56.88","-69.05","76.20","7112520","","","1938","1951","","","1938","1951","1938","1951"
"FORT MCMURRAY A","ALBERTA","56.65","-111.22","369.10","3062693","","","1944","2008","1953","2008","1944","2008","1944","2007"
"FORT MCMURRAY A","ALBERTA","56.65","-111.22","369.10","3062697","71689","YMM","2011","2022","2011","2022","2011","2022","",""
"FORT MCMURRAY AWOS A","ALBERTA","56.65","-111.22","369.10","3062700","","","2008","2011","2008","2011","2008","2011","",""
"FORT MCMURRAY CS","ALBERTA","56.65","-111.21","368.80","3062696","71585","XMM","1996","2022","1999","2022","1996","2022","1996","2007"
"FORT MCPHERSON","NORTHWEST TERRITORIES","67.43","-134.88","30.50","2201600","","","1892","1977","","","1892","1977","1892","1977"
"FORT MCPHERSON A","NORTHWEST TERRITORIES","67.41","-134.86","35.40","2201601","","ZFM","1981","2014","1988","2014","1981","2014","1981","2007"
"FORT MCPHERSON A","NORTHWEST TERRITORIES","67.41","-134.86","35.40","2201599","","ZFM","2014","2022","2014","2022","","","",""
"FORT MCPHERSON A","NORTHWEST TERRITORIES","67.41","-134.86","35.40","2201606","","ZFM","2014","2022","2014","2022","2018","2022","",""
"FORT MCPHERSON NWLFS","NORTHWEST TERRITORIES","69.45","-134.83","30.50","2201602","","","1974","1975","","","1974","1975","1974","1974"
"FORT NELSON","BRITISH COLUMBIA","58.84","-122.57","380.20","1192948","71594","VFN","2015","2022","2015","2022","2015","2022","",""
"FORT NELSON A","BRITISH COLUMBIA","58.84","-122.60","381.90","1192946","71945","YYE","2012","2022","2012","2022","2012","2022","",""
"FORT NELSON A","BRITISH COLUMBIA","58.84","-122.60","381.90","1192940","71945","YYE","1937","2012","1953","2012","1937","2012","1937","2012"
"FORT NELSON ALPINE RD","BRITISH COLUMBIA","58.82","-122.70","419.10","1192942","","","1984","1986","","","1984","1986","1984","1986"
"FORT NELSON GARDINER CR","BRITISH COLUMBIA","58.82","-122.70","419.40","1192945","","","1984","1984","","","1984","1984","1984","1984"
"FORT NELSON UA","BRITISH COLUMBIA","58.84","-122.57","378.30","1192950","71945","","1999","2017","","","1999","2017","1999","2007"
"FORT PROVIDENCE","NORTHWEST TERRITORIES","61.33","-117.67","159.40","2201800","","","1943","1982","1953","1979","1943","1982","1943","1982"
"FORT PROVIDENCE","NORTHWEST TERRITORIES","61.32","-117.60","161.50","2201799","71087","WID","1994","2022","1994","2022","1994","2022","2006","2007"
"FORT QU'APPELLE","SASKATCHEWAN","50.78","-103.80","485.50","4012600","","","1911","1973","","","1911","1973","1911","1973"
"FORT RELIANCE","NORTHWEST TERRITORIES","62.72","-109.17","165.80","2201900","","","1948","1992","1953","1991","1948","1992","1948","1991"
"FORT RELIANCE (AUT)","NORTHWEST TERRITORIES","62.71","-109.17","167.60","2201903","71160","WFZ","1994","2022","1994","2022","1994","2022","1996","2007"
"FORT RESOLUTION","NORTHWEST TERRITORIES","61.17","-113.67","158.50","2201998","","","1911","1936","","","1911","1936","1911","1936"
"FORT RESOLUTION A","NORTHWEST TERRITORIES","61.18","-113.69","160.30","2202000","","YFR","1930","2014","1954","2014","1930","2014","1930","2007"
"FORT RESOLUTION A","NORTHWEST TERRITORIES","61.18","-113.69","160.60","2202010","","YFR","2014","2022","2014","2022","2018","2022","",""
"FORT RESOLUTION A","NORTHWEST TERRITORIES","61.18","-113.69","160.60","2202001","","YFR","2014","2022","2014","2022","","","",""
"FORT ROSS","NUNAVUT","71.92","-94.25","15.20","2402050","","","1937","1948","","","1937","1948","1938","1948"
"FORT ROSS","NUNAVUT","72.02","-94.20","10.00","2402051","71629","NFR","2012","2022","2012","2022","2012","2022","",""
"FORT RUPERT","QUEBEC","51.48","-78.75","12.20","7092524","","","1964","1974","","","1964","1974","1964","1974"
"FORT SASKATCHEWAN","ALBERTA","53.72","-113.18","620.00","3012710","","","1958","2022","","","1958","2022","1958","2007"
"FORT SEVERN A","ONTARIO","56.02","-87.68","15.80","6012500","","YER","2006","2013","2006","2013","2006","2013","",""
"FORT SEVERN A","ONTARIO","56.02","-87.68","15.80","6012501","71099","YER","2013","2022","2013","2022","2013","2022","",""
"FORT SIMPSON","NORTHWEST TERRITORIES","61.87","-121.35","131.70","2202100","","","1895","1963","1953","1963","1895","1963","1895","1963"
"FORT SIMPSON","NORTHWEST TERRITORIES","61.76","-121.24","169.20","2202115","","XFS","1998","2010","1998","2000","1998","2010","1998","2000"
"FORT SIMPSON A","NORTHWEST TERRITORIES","61.76","-121.24","169.50","2202104","","YFS","2016","2022","2016","2022","2018","2022","",""
"FORT SIMPSON A","NORTHWEST TERRITORIES","61.76","-121.24","169.20","2202101","71946","YFS","1963","2014","1963","2014","1963","2014","1963","2010"
"FORT SIMPSON A","NORTHWEST TERRITORIES","61.76","-121.24","169.50","2202103","71946","YFS","2014","2022","2014","2022","2014","2022","",""
"FORT SIMPSON CDA","NORTHWEST TERRITORIES","61.87","-121.35","131.10","2202110","","","1961","1969","","","1961","1969","1961","1969"
"FORT SIMPSON CLIMATE","NORTHWEST TERRITORIES","61.76","-121.24","168.00","2202102","71365","ZFS","2003","2022","2003","2022","2003","2022","2003","2007"
"FORT SMITH","NORTHWEST TERRITORIES","60.00","-111.87","207.30","2202198","","","1928","1946","","","1928","1946","1928","1946"
"FORT SMITH","NORTHWEST TERRITORIES","60.00","-111.93","182.90","2202196","","","1913","1929","","","1913","1929","1913","1929"
"FORT SMITH A","NORTHWEST TERRITORIES","60.02","-111.96","205.10","2202200","71934","YSM","1943","2014","1953","2014","1943","2014","1943","2014"
"FORT SMITH A","NORTHWEST TERRITORIES","60.02","-111.96","205.10","2202203","","YSM","2016","2022","2016","2022","2018","2022","",""
"FORT SMITH A","NORTHWEST TERRITORIES","60.02","-111.96","205.10","2202201","71934","YSM","2014","2022","2014","2022","2014","2022","",""
"FORT SMITH CLIMATE","NORTHWEST TERRITORIES","60.03","-111.93","203.00","2202202","71362","ZSM","2003","2022","2003","2022","2003","2022","2003","2007"
"FORT ST JAMES","BRITISH COLUMBIA","54.46","-124.29","691.00","1092970","","","1895","2019","","","1895","2019","1895","2007"
"FORT ST JAMES A","BRITISH COLUMBIA","54.42","-124.25","716.30","1092972","","","1979","1991","1979","1991","1979","1991","1979","1991"
"FORT ST JAMES AUTO","BRITISH COLUMBIA","54.46","-124.29","688.00","1092975","71933","VFS","2013","2022","2013","2022","2013","2022","",""
"FORT ST JOHN","BRITISH COLUMBIA","56.25","-120.83","673.60","1182998","","","1910","1945","","","1910","1945","1910","1945"
"FORT ST JOHN 8NW","BRITISH COLUMBIA","56.25","-121.03","808.00","118L0LK","","","1988","2007","","","1988","2007","1988","2007"
"FORT ST JOHN A","BRITISH COLUMBIA","56.24","-120.74","694.90","1183000","71943","YXJ","1942","2012","1953","2012","1942","2012","1942","2012"
"FORT ST JOHN PINEVIEW","BRITISH COLUMBIA","56.32","-120.82","731.50","1183032","","","1960","1963","","","1960","1963","1960","1963"
"FORT ST JOHN- HWOS CLIMATE","BRITISH COLUMBIA","56.24","-120.74","694.90","1183007","","","2012","2014","","","2012","2014","",""
"FORT ST. JOHN A","BRITISH COLUMBIA","56.24","-120.74","694.90","1183001","71943","YXJ","2012","2022","2012","2022","2012","2022","",""
"FORT STEELE","BRITISH COLUMBIA","49.63","-115.62","915.00","1153033","","","1966","1968","","","1966","1968","1966","1968"
"FORT VERMILION","ALBERTA","58.38","-116.05","282.90","3072730","","","1955","1968","1955","1968","1963","1963","1963","1963"
"FORT VERMILION","ALBERTA","58.45","-116.05","","3072719","","","1888","1917","","","1888","1917","1888","1917"
"FORT VERMILION","ALBERTA","58.38","-116.04","289.00","3072723","71024","XFV","2000","2022","2000","2022","2000","2022","2000","2007"
"FORT VERMILION CDA","ALBERTA","58.38","-116.03","278.90","3072720","","","1908","1985","","","1908","1985","1908","1985"
"FORT VERMILION RS","ALBERTA","58.40","-116.03","246.90","3072732","","","1962","1989","","","1962","1989","1962","1989"
"FORT WALSH","SASKATCHEWAN","49.47","-109.57","1104.60","4032640","","","1952","1957","","","1952","1957","1952","1957"
"FORT WHYTE CENTRE","MANITOBA","49.82","-97.23","235.00","5020990","","","2002","2004","","","2002","2004","2002","2004"
"FORTEAU","NEWFOUNDLAND","51.47","-56.97","","8501615","","","1871","1878","","","1871","1878","1871","1878"
"FORTIERVILLE","QUEBEC","46.48","-72.05","53.30","7022494","","","1973","2022","","","1973","2022","1973","2018"
"FORTRESS MOUNTAIN","ALBERTA","50.85","-115.25","2042.20","3052705","","","1974","1975","","","1974","1975","1975","1975"
"FORTUNE","NEWFOUNDLAND","47.07","-55.82","15.20","8401618","","","1980","1989","","","1980","1989","1980","1989"
"FORTY MILE","YUKON TERRITORY","64.38","-140.60","335.30","2100605","","","1978","1984","","","1978","1984","1978","1984"
"FORWARD HARBOUR","BRITISH COLUMBIA","50.48","-125.70","7.60","106C0C5","","","1975","1978","","","1975","1978","1975","1978"
"FOSTER LAKE","SASKATCHEWAN","56.80","-105.35","513.90","4062660","","","1962","1979","","","1962","1979","1962","1979"
"FOURCHU HEAD (AUT)","NOVA SCOTIA","45.72","-60.23","10.00","820J8C7","","","1993","1997","1994","1997","1993","1997","",""
"FOURNIER","ONTARIO","45.43","-74.90","64.90","6102516","","","1957","1959","","","1957","1959","1957","1959"
"FOX CREEK","ALBERTA","54.40","-116.80","841.20","3072734","","","1973","1973","","","1973","1973","1973","1973"
"FOX CREEK JUNCTION","ALBERTA","54.40","-116.82","829.00","307K73D","","","1991","2012","","","1991","2012","1991","2007"
"FOX CREEK RS","ALBERTA","54.40","-116.93","841.20","3072735","","","1966","1999","","","1966","1999","1966","1999"
"FOX VALLEY","SASKATCHEWAN","50.40","-109.43","708.70","4022680","","","1951","1969","","","1951","1969","1951","1969"
"FOXFORD","SASKATCHEWAN","53.42","-105.12","467.90","4052671","","","1971","1983","","","1971","1983","1971","1983"
"FOXTON","MANITOBA","50.45","-97.35","231.60","5020980","","","1883","1898","","","1883","1898","1883","1898"
"FOXWARREN","MANITOBA","50.52","-101.15","533.40","5010981","","","1969","2001","","","1969","2001","1969","2001"
"FOXWARREN NORTH","MANITOBA","50.60","-101.17","556.30","5010982","","","1998","2001","","","1998","2001","1998","2001"
"FOYMOUNT","ONTARIO","45.33","-77.30","426.70","6102531","","","1956","1974","","","1956","1974","1956","1974"
"FRAMPTON","QUEBEC","46.43","-70.83","426.70","7022553","","","1965","1985","","","1965","1985","1965","1985"
"FRANCES LAKE","YUKON TERRITORY","61.33","-129.33","780.30","2100611","","","1976","1978","","","1976","1978","1976","1978"
