"mcode","munnom","madr1","madr2","madr3","madr4","mcodpos","mcourriel","mweb","mtel","mfax","mdes","mgentile","regadm","divrec","mrc","mdatcons","mdatregi","msuperf","mpopul","datelec","elecmode","divter","maire","con1","con2","con3","con4","con5","con6","con7","con8","con9","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30","con31","con32","con33","con34","con35","con36","con37","con38","con39","con40","con41","con42","con43","con44","con45","con46","con47","con48","con49","con50","con51","con52","con53","con54","con55","con56","con57","con58","con59","con60","con61","con62","con63","con64","con65","con66","con67","con68","con69","con70","con71","con72","con73","con74","con75","dirgen","dirsecpub","tres","gref","sectres","polic","incen","loisir","trvpub","mesurg","urban","communic","permis","batim","nd"
"46080","Cowansville","220, place Municipale","Cowansville","220, place Municipale","Cowansville","J2K1T4","hoteldeville@ville.cowansville.qc.ca","www.ville.cowansville.qc.ca","4502630141","4502639357","Ville","Cowansvillois, oise","Estrie (05)","Brome-Missisquoi (46)","MRC Brome-Missisquoi (460)","1876-01-01","1931-07-11","48.542","15721","2025-11-02","B","District","Sylvie Beauregard","Mélanie Gobeille","Alain Daigle","Marie-France Beaudry","Stéphane Lussier","Yvon Pepin","Amélie Fournier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Claude Lalonde","","Josée Tassé","Julie Lamarche","","","Gilles Deschamps","Marie-Maude Secours","Sylvain Perreault","Gilles Deschamps","","Fanny Poisson","","",""
"61013","Crabtree","111, 4e Avenue","Crabtree","111, 4e Avenue","Crabtree","J0K1B0","info@crabtree.quebec","www.crabtree.quebec","4507543434","4507542172","Municipalité","Crabtreen, enne*","Lanaudière (14)","Joliette (61)","MRC Joliette (610)","1996-10-23","","25.972","4193","2025-11-02","B","Sans division","Mario Lasalle","Étienne Dupuis","Isabel Desrochers","Véronique Payette","Pascale Dupaul","Sylvie Frigon","Claude Laporte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pierre Rondeau","","","","Pierre Rondeau","","","","Christian Gravel","Pierre Rondeau","","","Barbara Fréchette Figueroa","",""
"40047","Danville","150, rue Water","Danville","150, rue Water","Danville","J0A1A0","direction@danville.ca","www.danville.ca","8198392771","8198392918","Ville","Danvillois, oise","Estrie (05)","Asbestos (40)","MRC Les Sources (400)","1999-03-17","","153.478","3848","2025-11-02","B","Sans division","Martine Satre","Chantal Cantin","Pierre Jr Grimard","Richard Lefebvre","Jean-Guy Laroche","Daniel Pitre","Gaétan Nadeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marie-Pier Dupuis","","Nathalie Patenaude","","","","Alain Roy","","Bruno St-Onge","Marie-Pier Dupuis","Pascale Bernaquez","Chantale Dallaire","","Klaude-Ève Taillon",""
"39152","Daveluyville","362, rue Principale","Daveluyville","362, rue Principale","Daveluyville","G0Z1C0","dg@ville.daveluyville.qc.ca","www.ville.daveluyville.qc.ca","8193673395","0000000000","Ville","Daveluyvien, ienne","Centre-du-Québec (17)","Arthabaska (39)","MRC Arthabaska (390)","2016-03-09","","62.786","2390","2025-11-02","B","Sans division","Mathieu Allard","NAdia Leclerc","Sébastien Bilodeau","Valérie Loiselle","Alain Raymond","Carole-Anne Provencher","Christine Gentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tammy Voyer","","","Elyse Maheu","","","Éric Bergeron","","","Tammy Voyer","Valérie Gagné","","Valérie Gagné","Valérie Gagné",""
"13005","Dégelis","369, avenue Principale","Dégelis","369, avenue Principale","Dégelis","G5T2G3","info@degelis.ca","www.degelis.ca","4188532332","4188533464","Ville","Dégelisien, ienne*","Bas-Saint-Laurent (01)","Témiscouata (13)","MRC Témiscouata (130)","1969-12-13","","571.399","2871","2025-11-02","B","Sans division","Gustave Pelletier","Linda Bergeron","Olivier Lemay","Brigitte Morin","Eliott Levasseur","Lucienne Lagacé","Bernard Caron","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sébastien Bourgeault","","Véronique Morneau","Sébastien Bourgeault","","","Claude Gravel","Guildo Soucy","Simon Potvin","","","","Vianney Dumont","",""
"83070","Déléage","175, route 107","Déléage","175, route 107","Déléage","J9E3A8","reception@deleage.ca","www.deleage.ca","8194491979","0000000000","Municipalité","Déléageois, oise*","Outaouais (07)","La Vallée-de-la-Gatineau (83)","MRC La Vallée-de-la-Gatineau (830)","1881-01-01","","263.42","1893","2025-11-02","B","Sans division","Anne Potvin","Kathy Milone","Gilles Jolivette","Serge Lacourcière","Michelle Briand","Stéphane Rivest","Éric Gauthier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Joanne Poulin","","","","Joanne Poulin","","Michel Paul","","Éric Trottier","","","","","",""
"67025","Delson","50, rue Sainte-Thérèse","Delson","50, rue Sainte-Thérèse","Delson","J5B2B2","reception@ville.delson.qc.ca","www.ville.delson.qc.ca","4506321050","4506321571","Ville","Delsonnien, ienne*","Montérégie (16)","Roussillon (67)","MRC Roussillon (670)","1918-01-04","1957-02-21","7.695","8397","2025-11-02","B","District","Christian Ouellette","Éric Lecourtois","Jean-Michel Pepin","Marcelina Jugureanu","Claude-Marc Raymond","Réal Langlais","Nathalie Thauvette","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jean-François Messier","Michel Guillemette","Michel Barbeau","Poste Vacant","","Michel Guillemette","Claude Brosseau","Dominique Bilodeau","Frédéric Isabal","Jean-François Messier","Samuel Duchesne","Poste Vacant","","Virginie Émard",""
"83005","Denholm","419, chemin du Poisson-Blanc","Denholm","419, chemin du Poisson-Blanc","Denholm","J8N9C8","info@denholm.ca","www.denholm.ca","8194572992","8194579862","Municipalité","Denholmien, ienne*","Outaouais (07)","La Vallée-de-la-Gatineau (83)","MRC La Vallée-de-la-Gatineau (830)","1924-02-27","","197.675","481","2025-11-02","B","Sans division","Gaétan Guindon","Richard Poirier","Marie Gagnon","Marc Gratton","Paul Brouillard","Pascale-Sophie Bélanger","PAULETTE Lemieux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stéphane Hamel","Yves Binette","","","Stéphane Hamel","Yves Binette","Yves Binette","Richard Poirier","Yves Binette","","","","","",""
"93005","Desbiens","925, rue Hébert","Desbiens","925, rue Hébert","Desbiens","G0W1N0","administration@ville.desbiens.qc.ca","www.ville.desbiens.qc.ca","4183465571","4183465422","Ville","Desbienois, oise*","Saguenay--Lac-Saint-Jean (02)","Lac-Saint-Jean-Est (93)","MRC Lac-Saint-Jean-Est (930)","1926-08-16","1960-03-07","11.173","1008","2025-11-02","B","Quartier","Claude Delisle","Poste Vacant","Marc Fortin","Poste Vacant","Michel Allard","Gilbert Doucet","Gaétan Boudreault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marie-Bénédicte Tremblay","","","","Marie-Ève Roy","","Marco Bolduc","","Germain Rondeau","Marie-Ève Roy","","","Annie Gagnon","",""
"38070","Deschaillons-sur-Saint-Laurent","1596, route Marie-Victorin","Deschaillons-sur-Saint-Laurent","1596, route Marie-Victorin","Deschaillons-sur-Saint-Laurent","G0S1G0","directiongenerale@deschaillons.ca","www.deschaillons.ca","8192922085","8192923194","Municipalité","Deschaillonnais, aise*","Centre-du-Québec (17)","Bécancour (38)","MRC Bécancour (380)","1990-05-23","","51.591","896","2025-11-02","B","Sans division","Christian Baril","Valérie Giguière","Andréanne Rouleau","Robert Gendron","Amélie Guay","Chrystelle Balen","Annie Demers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France Grimard","","","","France Grimard","","","","","France Grimard","","","France Légaré","",""
"34058","Deschambault-Grondines","120, rue Saint-Joseph","Deschambault-Grondines","120, rue Saint-Joseph","Deschambault-Grondines","G0A1S0","info@deschambault-grondines.com","www.deschambault-grondines.com","4182864511","4182866511","Municipalité","","Capitale-Nationale (03)","Portneuf (34)","MRC Portneuf (340)","2002-02-27","","152.359","2290","2025-11-02","B","Sans division","Patrick Bouillé","Martin Renauld","Jean Cloutier","Marianne Lavallée","Gaetan Garneau","Sylvain Ouimet","Eric Sauvageau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poste Vacant","","","Karine St-Arnaud","Poste Vacant","","Éric Harvey","","","Poste Vacant","Jean-Philippe Goyette","Poste Vacant","","Poste Vacant",""
"72010","Deux-Montagnes","803, chemin d'Oka","Deux-Montagnes","803, chemin d'Oka","Deux-Montagnes","J7R1L8","info@ville.deux-montagnes.qc.ca","www.ville.deux-montagnes.qc.ca","4504732796","4504732417","Ville","Deux-Montagnais, aise","Laurentides (15)","Deux-Montagnes (72)","MRC Deux-Montagnes (720)","1921-08-18","1958-02-06","7.253","18235","2025-11-02","B","District","Denis Martin","Manon Robitaille","Erik Johnson","Micheline Groulx Stabile","Frédéric Berthiaume","Michel Mendes","Margaret Lavallée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Benoit Ferland","Alain Simoneau","Julie Guindon","Jacques Robichaud","","Alain Simoneau","Norbert Vendette","Mario Quesnel","Jean B. Fayomi","Benoit Ferland","","Louise Mailloux","","",""
"31015","Disraeli","550, avenue Jacques-Cartier","Disraeli","550, avenue Jacques-Cartier","Disraeli","G0N1E0","dir-gen@villededisraeli.com","www.villededisraeli.com","4184492771","4184494299","Ville","Disraelois, oise*","Chaudière-Appalaches (12)","L'Amiante (31)","MRC Les Appalaches (310)","1904-11-19","1969-03-29","8.285","2361","2025-11-02","B","District","Charles Audet","Daniel Roy","Germain Martin","Alain Daigle","Martial Matteau","Claude Jolicoeur","Jean-François Marois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Michel Légaré","","","","Michel Légaré","","Daniel Paradis","Kim Côté","Steven Carrier","Daniel Paradis","","","","",""
"31020","Disraeli","8306, route 112","Disraeli","8306, route 112","Disraeli","G0N1E0","info@paroissedisraeli.com","www.paroissedisraeli.com","4184495329","4184495459","Paroisse","Disraélois, oise*","Chaudière-Appalaches (12)","L'Amiante (31)","MRC Les Appalaches (310)","1883-01-01","","97.505","1133","2025-11-02","B","Sans division","Jacynthe Patry","Nancy Lefebvre","Alain Perreault","Daniel Béliveau","Gérard Fecteau","François Fortier","Michel Bourgault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rock Sadoine","","","","Rock Sadoine","","","","","","","","Daniel Fournier","",""
"44023","Dixville","251, chemin Parker","Dixville","251, chemin Parker","Dixville","J0B1P0","secretariat@dixville.ca","www.dixville.ca","8198493037","8198499520","Municipalité","Dixvillois, oise*","Estrie (05)","Coaticook (44)","MRC Coaticook (440)","1995-09-27","","76.92","733","2025-11-02","B","Sans division","Françoise Bouchard","Teddy Chiasson","Danielle Lamontagne","Peter Buzzell","Roger Heath","Fernando Sanchez","Anthony Laroche","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sylvain Benoit","","","","Sylvain Benoit","","","","","Sylvain Benoit","","","Gabrielle Kmec","",""
"92022","Dolbeau-Mistassini","1100, boulevard Wallberg","Dolbeau-Mistassini","1100, boulevard Wallberg","Dolbeau-Mistassini","G8L1G7","hotelville@ville.dolbeau-mistassini.qc.ca","www.ville.dolbeau-mistassini.qc.ca","4182760160","4182768312","Ville","Dolmissois, oise*","Saguenay--Lac-Saint-Jean (02)","Maria-Chapdelaine (92)","MRC Maria-Chapdelaine (920)","1997-12-17","","359.466","13906","2025-11-02","B","Sans division","André Guy","Caroline Labbé","Pierre-Olivier Lussier","Stéphane Houde","Rémi Rousseau","Stéphane Gagnon","Guylaine Martel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Frédéric Lemieux","","","André Côté","Suzy Gagnon","","Daniel Cantin","Claude Godbout","Denis Boily","Frédéric Lemieux","","","","",""
"66142","Dollard-Des Ormeaux","12001, boulevard De Salaberry","Dollard-Des Ormeaux","12001, boulevard De Salaberry","Dollard-Des Ormeaux","H9B2A7","ville@ddo.qc.ca","www.ville.ddo.qc.ca","5146841010","5146846894","Ville","","Montréal (06)","Montréal (66)","","2006-01-01","","15.093","49696","2025-11-02","B","District","Alex Bottausci","Laurence Parent","Errol Johnson","Mickey Max Guttman","Tanya Toledano","Morris Vesely","Valérie Assouline","Ryan Brownstein","Anastasia Assimakopoulos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jack Benzaquen","","Roman Beschieru","Sophie Valois","","","","","Pascal Ouellette","","","","","",""
"34025","Donnacona","138, avenue Pleau","Donnacona","138, avenue Pleau","Donnacona","G3M1A1","germains@villededonnacona.com","www.villededonnacona.com","4182850110","4182850020","Ville","Donnaconien, ienne","Capitale-Nationale (03)","Portneuf (34)","MRC Portneuf (340)","1967-01-21","","37.422","7569","2025-11-02","B","Sans division","Jean-Claude Léveillée","Renée-Claude Pichette","Francyne Bouchard","Jean-Pierre Pagé","Sylvie Lambert","Francis Bellemare","Danie Blais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sylvain Germain","","Julie Alain","Pierre-Luc Gignac","","","Éric Amyot","René Alain","Tommy Rousseau","Sylvain Germain","","Patricia Métivier","Benoit Filion","",""
"66087","Dorval","60, avenue Martin","Dorval","60, avenue Martin","Dorval","H9S3R4","dorval@ville.dorval.qc.ca","www.ville.dorval.qc.ca","5146334040","5146334138","Ville","Dorvalois, oise","Montréal (06)","Montréal (66)","","2006-01-01","","29.079","19735","2025-11-02","B","District","Marc Doret","Paul Trudeau","Pascal Brault","Robert (Bob) Le Sage","Nicole Duchastel","Christopher Von Roretz","Jean-François Leroux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Robert Bourbeau","","Gheorghe Lucian Todoran","Chantale Bilodeau","","","","","Carl Minville","","","","","",""
"33040","Dosquet","2, rue Monseigneur Chouinard","Dosquet","2, rue Monseigneur Chouinard","Dosquet","G0S1H0","mundosquet@videotron.ca","www.municipalitedosquet.com/","4187283653","4187283338","Municipalité","Dosquetois, oise*","Chaudière-Appalaches (12)","Lotbinière (33)","MRC Lotbinière (330)","1918-02-09","","64.574","984","2025-11-02","B","Sans division","Yvan Charest","Aglaée D'Auteuil","Audrey Charest","Sylvain Proulx","Michel Moreau","Claude Lachance","Mathieu Lavigne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jolyane Houle","","","","Jolyane Houle","","Sylvain Grenier","","","Sylvain Grenier","","","Lucie Boucher","",""
"49058","Drummondville","415, rue Lindsay","Drummondville","C.P. 398","Drummondville","J2B6W3","greffe@drummondville.ca","www.drummondville.ca","8194786550","0000000000","Ville","Drummondvillois, oise*","Centre-du-Québec (17)","Drummond (49)","MRC Drummond (490)","2004-07-07","","259.604","80479","2025-11-02","B","District","Stéphanie Lacoste","Marc-André Lemire","Alexandre Desbiens","Catherine Lassonde","Carole Léger","Sarah Saint-Cyr Lanoie","Jean-Philippe Tessier","Isabelle Duchesne","Yves Grondin","Julie Létourneau","Mario Sévigny","Daniel Pelletier","Cathy Bernier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Francis Adam","","Benoît Carignan","Mélanie Ouellet","","","Yves Beaurivage","Jonathan Guay","Jérôme Blanchette","","","Dominic Villeneuve","","",""
"41117","Dudswell","167, rue Main","Dudswell","167, rue Main","Dudswell","J0B1G0","municipalite.dudswell@hsfqc.ca","www.municipalitededudswell.ca","8195608484","8195608485","Municipalité","Dudswellois, oise*","Estrie (05)","Le Haut-Saint-François (41)","MRC Le Haut-Saint-François (410)","1995-10-11","","223.34","1888","2025-11-02","B","Sans division","Mariane Paré","Vincent Dodier","Réjean Simard","Domenica Guzzo","Majolaine Larocque","Réjean Cloutier","Isabelle Bibeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solange Masson","","","","Solange Masson","","","","Martin Leroux","","","Marie-Pierre Hamel","Fatimata Gueye","Fatimata Gueye",""
"80135","Duhamel","1890, rue Principale","Duhamel","1890, rue Principale","Duhamel","J0V1G0","dg@municipalite.duhamel.qc.ca","www.municipalite.duhamel.qc.ca","8194287100","8194281941","Municipalité","Duhamellois, oise*","Outaouais (07)","Papineau (80)","MRC Papineau (800)","1936-08-15","","478.527","479","2025-11-02","B","Sans division","David Pharand","Marie-Céline Hébert","Gilles Payer","Denise Corneau","Michel Longtin","Raymond Bisson","Noël Picard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Julie Ricard","","","","Julie Ricard","","Benoît Fiset","","Nicolas Larose","Julie Ricard","","Julie Ricard","","",""
"85030","Duhamel-Ouest","361, route 101 S.","Duhamel-Ouest","361, route 101 S.","Duhamel-Ouest","J9V1A2","dg@duhamelouest.ca","","8196292522","8196292422","Municipalité","Duhamellois, oise-de-l'Ouest*","Abitibi-Témiscamingue (08)","Témiscamingue (85)","MRC Témiscamingue (850)","1911-02-20","","128.814","895","2025-11-02","B","Sans division","Jocelyn Cardinal","Gilles Lefort","Jacques Mayer","Jocelyn Berneche","Loydy Brousseau","Pierre-Louis Gilbert-Gauthier","Gilles Laplante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lise Perron","","","","Lise Perron","","Richard Pleau","","Roch Lambert","","","","Poste Vacant","",""
"69075","Dundee","3296, montée Smallman","Dundee","3296, montée Smallman","Dundee","J0S1L0","dg@cantondundee.ca","http://www.cantondundee.ca","4502644674","4502648044","Canton","Dundier, Dundière","Montérégie (16)","Le Haut-Saint-Laurent (69)","MRC Le Haut-Saint-Laurent (690)","1855-07-01","","84.068","396","2025-11-02","B","Sans division","Linda Gagnon","Raymond Lazure","Marc Myre","Michel Dupuis","Justin Nieuwenhof","Marie Myre","Daibhid Fraser","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian Genest","","","","Christian Genest","","","","","Christian Genest","","","","",""
"46050","Dunham","3777, rue Principale","Dunham","C.P. 70","Dunham","J0E1M0","info@ville.dunham.qc.ca","www.ville.dunham.qc.ca","4502952418","4502952182","Ville","Dunhamien, ienne*","Estrie (05)","Brome-Missisquoi (46)","MRC Brome-Missisquoi (460)","1971-09-25","","195.462","3652","2025-11-02","B","District","Pierre Janecek","Kevin Mitchell","Jeremy Page","Jules Brunelle-Marineau","Florencia Saravia","François Desaulniers","Guillaume Brais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poste Vacant","","Poste Vacant","Me Jessica Tanguay","","","Patrick Cournoyer","Ève Sano-Gélinas","","Poste Vacant","","","","",""
"87005","Duparquet","86, rue Principale","Duparquet","86, rue Principale","Duparquet","J0Z1W0","duparquet@mrcao.qc.ca","www.duparquet.ao.ca/fr","8199482266","8199482466","Ville","Duparquetois, oise*","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","1933-04-13","","156.356","711","2025-11-02","B","Sans division","Jacques Ricard","Denis Blais","Marlene Doroftei","Claudette Macameau","Véronique Drouin-Lecompte","Chantal Provencher","Solange Gamache","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chantal Poirier","","","","Chantal Poirier","","","Jessica Roy","","Poirier Chantal","","","Richard Vallières","",""
"87085","Dupuy","1, avenue 7e  O.","Dupuy","1, avenue 7e  O.","Dupuy","J0Z1X0","dupuy@mrcao.qc.ca","http://dupuy.ao.ca/fr/","8197832595","8197832192","Municipalité","Dupuyen, enne*","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","1918-09-20","","122.697","911","2025-11-02","B","Sans division","Alain Grégoire","Ronald Lévesque","Pascal Corriveau","Sylvie Germain","Mario Boudreau","Denise Lessard Morin","Rémi Kelley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Céleste Marie-Josée","","","Marie-Josée Céleste","Céleste Marie-Josée","","Sylvain Rochette","Serge Gervais","","","","","","",""
"49015","Durham-Sud","33, rue Principale","Durham-Sud","C.P. 70","Durham-Sud","J0H2C0","dg@durham-sud.com","www.durham-sud.com","8198582044","8198582929","Municipalité","Durhamien, ienne*","Centre-du-Québec (17)","Drummond (49)","MRC Drummond (490)","1975-11-01","","92.771","1107","2025-11-02","B","Sans division","Sylvie Laval","Hilarius Peter","Patrice Godin","Dominique Lambert","Ginette Laliberté","Yvan Courchesne","Karine Trahan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Julie St-Laurent","","","","","","Gaston Manseau","Poste Vacant","Frédéric Manseau","","","","","",""
"41060","East Angus","200, rue Saint-Jean E.","East Angus","200, rue Saint-Jean E.","East Angus","J0B1R0","info.eastangus@hsfqc.ca","www.eastangus.ca","8195608600","8195608611","Ville","Angussien, ienne*","Estrie (05)","Le Haut-Saint-François (41)","MRC Le Haut-Saint-François (410)","1912-03-14","","8.32","3909","2025-11-02","B","Sans division","Lyne Boulanger","Michel Champigny","Guillaume Landry","Dany Langlois","Antoni Dumont","Denis Gilbert","Nicole Bernier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","David Fournier","","Bruno Poulin","Bruno Poulin","","","","","Paul St-Cyr","David Fournier","","","Jean Dion","Jean Dion",""
"31122","East Broughton","600, 10e Avenue S.","East Broughton","600, 10e Avenue S.","East Broughton","G0N1H0","mvachon@municipaliteeastbroughton.com","www.municipaliteeastbroughton.com","4184272608","4184273414","Municipalité","Broughtonnais, aise*","Chaudière-Appalaches (12)","L'Amiante (31)","MRC Les Appalaches (310)","1994-01-05","","8.704","2250","2025-11-02","B","District","Jean-Benoit Létourneau","Jean-Paul Grondin","Darrell Paré","Julie Leblond","Samantha Jalbert Paré","André Roy","Rénald Drouin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jean Gagnon","","Mario Calvé","Jean Gagnon","","","Nelson Lemieux","",""
"46085","East Farnham","228, rue Principale","East Farnham","228, rue Principale","East Farnham","J2K4T5","eastfarnham@videotron.ca","www.municipalite.eastfarnham.qc.ca","4502634252","4502636131","Municipalité","Eastfarnhamien, ienne*","Estrie (05)","Brome-Missisquoi (46)","MRC Brome-Missisquoi (460)","1914-08-27","","4.965","600","2025-11-02","B","Sans division","Sylvie Dionne-Raymond","Sophie Catherine Chapleau","Caroline Cusson","Virginia Wilson","MELISSA Brock","Nathalie Vermette","Neil Rodrigue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Madelyn Marcoux","","","","Madelyn Marcoux","","","","","Madelyn Marcoux","","","","Guillaume Lavoie",""
"44010","East Hereford","15, rue de l'Église","East Hereford","15, rue de l'Église","East Hereford","J0B1S0","direction@easthereford.ca","www.easthereford.ca","8198442463","8198442463","Municipalité","Herefordéen, enne*","Estrie (05)","Coaticook (44)","MRC Coaticook (440)","1855-07-01","","72.882","279","2025-11-02","B","Sans division","Benoit Lavoie","Linda Mcduff","Bernard Roy","Poste Vacant","Maryse Dubé","Richard Dubé","Poste Vacant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marie-Ève Breton","","","","Marie-Ève Breton","","","Poste Vacant","","","","","Justin Doyle","",""
"99045","Eastmain","147, rue Shabow","Eastmain","C.P. 90","Eastmain","J0M1W0","info@eastmain.ca","www.eastmain.ca","8199770211","8199770281","Village cri (Terre 1-B)","Eastmainwi Iyiyou","Nord-du-Québec (10)","Nord-du-Québec (99)","","1978-06-28","","335.098","0","","B","","Edward Gilpin","Bessy Tomatuk","Kenneth Gilpin","Gregory Mayappo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poste vacant","","Poste vacant","","","","","","","","","",""
"45093","Eastman","160, chemin George-Bonnallie","Eastman","160, chemin George-Bonnallie","Eastman","J0E1P0","info@eastman.quebec","eastman.quebec","4502973440","4502973448","Municipalité","Eastmanois, oise*","Estrie (05)","Memphrémagog (45)","MRC Memphrémagog (450)","2001-05-30","","77.112","2333","2025-11-02","B","Sans division","Nathalie Lemaire","Maurice Séguin","Lucie Lanteigne","Boileau Yves","Carol Boivin","Patrick McDonald","Charles Simard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marc-Antoine  Bazinet","","","","Marc-Antoine  Bazinet","","Daniel Lefebvre","Mélanie Savoie","Alexis L'Heureux-Riel","Marc-Antoine  Bazinet","Marc Éthier","","","Nancy Bilodeau",""
"83075","Egan-Sud","95, route 105","Egan-Sud","95, route 105","Egan-Sud","J9E3A9","info@egan-sud.ca","www.egan-sud.ca","8194491702","8194497423","Municipalité","Eganois, oise*","Outaouais (07)","La Vallée-de-la-Gatineau (83)","MRC La Vallée-de-la-Gatineau (830)","1920-11-17","","51.03","496","2025-11-02","B","Sans division","Neil Gagnon","Patrick Feeny","Gilles Patry","Pierre Laramée","Jeannot Emond","Jean-René Martin","Yvan St-Amour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mariette Rochon","","","","Mariette Rochon","","","","","Louise St-Amour","","","Daniel Gagnon","",""
